Date,Year,Ground,Opposition,Inns,Pos,Runs,BF,4s,6s,SR,Dismissal,NotOut
2015-02-28,2015,W.A.C.A,U.A.E.,2.0,1.0,57.0,55.0,10.0,1.0,103.63,not out,1
2015-03-06,2015,W.A.C.A,West Indies,2.0,1.0,7.0,18.0,1.0,0.0,38.88,caught,0
2015-03-10,2015,Hamilton,Ireland,2.0,1.0,64.0,66.0,3.0,3.0,96.96,bowled,0
2015-03-14,2015,Auckland,Zimbabwe,2.0,1.0,16.0,21.0,2.0,0.0,76.19,caught,0
2015-03-19,2015,Melbourne,Bangladesh,1.0,1.0,137.0,126.0,14.0,3.0,108.73,bowled,0
2015-03-26,2015,Sydney,Australia,2.0,1.0,34.0,48.0,1.0,2.0,70.83,bowled,0
2015-06-18,2015,Mirpur,Bangladesh,2.0,1.0,63.0,68.0,4.0,1.0,92.64,caught,0
2015-06-21,2015,Mirpur,Bangladesh,1.0,1.0,0.0,2.0,0.0,0.0,0.0,caught,0
2015-06-24,2015,Mirpur,Bangladesh,1.0,1.0,29.0,29.0,2.0,1.0,100.0,caught,0
2015-10-11,2015,Kanpur,South Africa,2.0,1.0,150.0,133.0,13.0,6.0,112.78,caught,0
2015-10-14,2015,Indore,South Africa,1.0,1.0,3.0,10.0,0.0,0.0,30.0,bowled,0
2015-10-18,2015,Rajkot,South Africa,2.0,1.0,65.0,74.0,7.0,2.0,87.83,caught,0
2015-10-22,2015,Chennai,South Africa,1.0,1.0,21.0,19.0,4.0,0.0,110.52,caught,0
2015-10-25,2015,Wankhede,South Africa,2.0,1.0,16.0,20.0,3.0,0.0,80.0,caught,0
2016-01-12,2016,W.A.C.A,Australia,1.0,1.0,171.0,163.0,13.0,7.0,104.9,not out,1
2016-01-15,2016,Brisbane,Australia,1.0,1.0,124.0,127.0,11.0,3.0,97.63,run out,0
2016-01-17,2016,Melbourne,Australia,1.0,1.0,6.0,11.0,0.0,0.0,54.54,caught,0
2016-01-20,2016,Canberra,Australia,2.0,1.0,41.0,25.0,2.0,3.0,164.0,caught,0
2016-01-23,2016,Sydney,Australia,2.0,1.0,99.0,108.0,9.0,1.0,91.66,caught,0
2016-10-16,2016,Dharamsala,New Zealand,2.0,1.0,14.0,26.0,1.0,1.0,53.84,lbw,0
2016-10-20,2016,Delhi,New Zealand,2.0,1.0,15.0,27.0,1.0,1.0,55.55,caught,0
2016-10-23,2016,Mohali,New Zealand,2.0,1.0,13.0,21.0,2.0,0.0,61.9,lbw,0
2016-10-26,2016,Ranchi,New Zealand,2.0,2.0,11.0,19.0,2.0,0.0,57.89,caught,0
2016-10-29,2016,Visakhapatnam,New Zealand,1.0,2.0,70.0,65.0,5.0,3.0,107.69,caught,0
2017-06-04,2017,Birmingham,Pakistan,1.0,1.0,91.0,119.0,7.0,2.0,76.47,run out,0
2017-06-08,2017,The Oval,Sri Lanka,1.0,1.0,78.0,79.0,6.0,3.0,98.73,caught,0
2017-06-11,2017,The Oval,South Africa,2.0,1.0,12.0,20.0,1.0,1.0,60.0,caught,0
2017-06-15,2017,Birmingham,Bangladesh,2.0,1.0,123.0,129.0,15.0,1.0,95.34,not out,1
2017-06-18,2017,The Oval,Pakistan,2.0,1.0,0.0,3.0,0.0,0.0,0.0,lbw,0
2017-08-20,2017,Dambulla,Sri Lanka,2.0,1.0,4.0,13.0,0.0,0.0,30.76,run out,0
2017-08-24,2017,Pallekele,Sri Lanka,2.0,1.0,54.0,45.0,5.0,3.0,120.0,lbw,0
2017-08-27,2017,Pallekele,Sri Lanka,2.0,1.0,124.0,145.0,16.0,2.0,85.51,not out,1
2017-08-31,2017,Colombo (RPS),Sri Lanka,1.0,1.0,104.0,88.0,11.0,3.0,118.18,caught,0
2017-09-03,2017,Colombo (RPS),Sri Lanka,2.0,1.0,16.0,20.0,1.0,0.0,80.0,caught,0
2017-09-17,2017,Chennai,Australia,1.0,2.0,28.0,44.0,3.0,0.0,63.63,caught,0
2017-09-21,2017,Eden Gardens,Australia,1.0,2.0,7.0,14.0,1.0,0.0,50.0,caught,0
2017-09-24,2017,Indore,Australia,2.0,2.0,71.0,62.0,6.0,4.0,114.51,caught,0
2017-09-28,2017,Bengaluru,Australia,2.0,2.0,65.0,55.0,1.0,5.0,118.18,run out,0
2017-10-01,2017,Nagpur,Australia,2.0,2.0,125.0,109.0,11.0,5.0,114.67,caught,0
2017-10-22,2017,Wankhede,New Zealand,1.0,1.0,20.0,18.0,0.0,2.0,111.11,bowled,0
2017-10-25,2017,Pune,New Zealand,2.0,1.0,7.0,19.0,1.0,0.0,36.84,caught,0
2017-10-29,2017,Kanpur,New Zealand,1.0,1.0,147.0,138.0,18.0,2.0,106.52,caught,0
2017-12-10,2017,Dharamsala,Sri Lanka,1.0,1.0,2.0,13.0,0.0,0.0,15.38,caught,0
2017-12-13,2017,Mohali,Sri Lanka,1.0,1.0,208.0,153.0,13.0,12.0,135.94,not out,1
2017-12-17,2017,Visakhapatnam,Sri Lanka,2.0,1.0,7.0,14.0,0.0,1.0,50.0,bowled,0
2018-02-01,2018,Durban,South Africa,2.0,1.0,20.0,30.0,2.0,1.0,66.66,caught,0
