Date,Year,Ground,Opposition,Inns,Pos,Runs,BF,4s,6s,SR,Dismissal,NotOut
2012-02-08,2012,W.A.C.A,Sri Lanka,2.0,3.0,77.0,94.0,8.0,1.0,81.91,run out,0
2012-02-12,2012,Adelaide,Australia,2.0,3.0,18.0,28.0,1.0,0.0,64.28,caught,0
2012-02-14,2012,Adelaide,Sri Lanka,2.0,3.0,15.0,25.0,1.0,0.0,60.0,lbw,0
2012-02-19,2012,Brisbane,Australia,2.0,3.0,12.0,25.0,0.0,0.0,48.0,caught,0
2012-02-21,2012,Brisbane,Sri Lanka,2.0,4.0,66.0,83.0,2.0,0.0,79.51,caught,0
2012-02-26,2012,Sydney,Australia,2.0,4.0,21.0,27.0,2.0,0.0,77.77,caught,0
2012-02-28,2012,Hobart,Sri Lanka,2.0,4.0,133.0,86.0,16.0,2.0,154.65,not out,1
2012-03-13,2012,Mirpur,Sri Lanka,1.0,3.0,108.0,120.0,7.0,0.0,90.0,caught,0
2012-03-16,2012,Mirpur,Bangladesh,1.0,3.0,66.0,82.0,5.0,0.0,80.48,bowled,0
2012-03-18,2012,Mirpur,Pakistan,2.0,3.0,183.0,148.0,22.0,1.0,123.64,caught,0
2012-07-21,2012,Hambantota,Sri Lanka,1.0,3.0,106.0,113.0,9.0,0.0,93.8,caught,0
2012-07-24,2012,Hambantota,Sri Lanka,1.0,3.0,1.0,5.0,0.0,0.0,20.0,caught,0
2012-07-28,2012,Colombo (RPS),Sri Lanka,2.0,3.0,38.0,65.0,2.0,0.0,58.46,caught,0
2012-07-31,2012,Colombo (RPS),Sri Lanka,2.0,3.0,128.0,119.0,12.0,1.0,107.56,not out,1
2012-08-04,2012,Pallekele,Sri Lanka,1.0,3.0,23.0,35.0,2.0,0.0,65.71,lbw,0
2012-12-30,2012,Chennai,Pakistan,1.0,3.0,0.0,5.0,0.0,0.0,0.0,bowled,0
2013-01-03,2013,Eden Gardens,Pakistan,2.0,3.0,6.0,9.0,1.0,0.0,66.66,caught,0
2013-01-06,2013,Delhi,Pakistan,1.0,3.0,7.0,17.0,1.0,0.0,41.17,caught,0
2013-01-11,2013,Rajkot,England,2.0,3.0,15.0,22.0,1.0,0.0,68.18,caught,0
2013-01-15,2013,Kochi,England,1.0,3.0,37.0,54.0,1.0,1.0,68.51,caught,0
2013-01-19,2013,Ranchi,England,2.0,3.0,77.0,79.0,9.0,2.0,97.46,not out,1
2013-01-23,2013,Mohali,England,2.0,3.0,26.0,33.0,3.0,0.0,78.78,caught,0
2013-01-27,2013,Dharamsala,England,1.0,3.0,0.0,1.0,0.0,0.0,0.0,caught,0
